epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,50314,1.2326,1.00156,1.2242,0.72362,0.71202,0.72697,0.4319,1.47373,1.49743,1.42179,0.0051325,0.0051325,0.0051325
61,51141.4,1.23287,1.01359,1.22625,0.71539,0.71884,0.727,0.43198,1.47358,1.49637,1.4219,0.00505,0.00505,0.00505
62,51971.7,1.23048,0.99949,1.22567,0.71828,0.71761,0.72634,0.43194,1.47378,1.49543,1.42181,0.0049675,0.0049675,0.0049675
63,52803.3,1.21691,0.99432,1.21822,0.72173,0.71499,0.7263,0.43241,1.47394,1.49423,1.42173,0.004885,0.004885,0.004885
64,53627,1.2208,0.98494,1.21548,0.72152,0.71634,0.72654,0.43251,1.47362,1.49311,1.42148,0.0048025,0.0048025,0.0048025
65,54429.2,1.2185,0.9877,1.21462,0.72557,0.71556,0.72724,0.43319,1.47373,1.49117,1.42135,0.00472,0.00472,0.00472
66,55232.4,1.2082,0.9793,1.20798,0.72296,0.71807,0.7276,0.43293,1.47339,1.48983,1.42122,0.0046375,0.0046375,0.0046375
67,56035,1.20362,0.97604,1.2047,0.72637,0.71648,0.72774,0.4335,1.47396,1.48817,1.42136,0.004555,0.004555,0.004555
68,56836.5,1.20691,0.97185,1.20558,0.72662,0.71706,0.72787,0.4338,1.47412,1.48751,1.42112,0.0044725,0.0044725,0.0044725
69,57641.2,1.19439,0.96524,1.20068,0.72768,0.71784,0.7288,0.43358,1.47517,1.48643,1.4218,0.00439,0.00439,0.00439
70,58448.7,1.1916,0.95487,1.19663,0.72942,0.71763,0.72857,0.434,1.47561,1.48477,1.42207,0.0043075,0.0043075,0.0043075
71,59255.1,1.17891,0.9489,1.19537,0.72997,0.71799,0.72846,0.43456,1.47603,1.4838,1.42238,0.004225,0.004225,0.004225
72,60110.4,1.17676,0.94298,1.1937,0.72917,0.71917,0.72901,0.43485,1.47628,1.48171,1.4224,0.0041425,0.0041425,0.0041425
73,60928.5,1.17762,0.94529,1.19562,0.72745,0.71918,0.72888,0.43493,1.4765,1.48063,1.42253,0.00406,0.00406,0.00406
74,61748.9,1.17061,0.9334,1.18639,0.72804,0.71931,0.72912,0.43489,1.47668,1.4786,1.42258,0.0039775,0.0039775,0.0039775
75,62585.2,1.16468,0.92983,1.18312,0.72748,0.72097,0.7297,0.43504,1.47674,1.47678,1.42253,0.003895,0.003895,0.003895
76,63388.1,1.15919,0.92726,1.17996,0.72656,0.72084,0.7296,0.43543,1.47726,1.4752,1.42262,0.0038125,0.0038125,0.0038125
77,64197.3,1.15371,0.924,1.18043,0.72409,0.7234,0.73002,0.43619,1.47794,1.47388,1.42298,0.00373,0.00373,0.00373
78,65003.3,1.15505,0.91775,1.17854,0.7229,0.72348,0.7301,0.43598,1.47883,1.47255,1.4236,0.0036475,0.0036475,0.0036475
79,65805.2,1.14128,0.90721,1.17214,0.72327,0.72374,0.73072,0.43625,1.47931,1.47133,1.42371,0.003565,0.003565,0.003565
